"Issue Type","Summary","Test Case ID","Module","Feature","Priority","Severity","Preconditions","Test Steps","Test Data","Expected Result","Actual Result","Status","Labels"
"Test","TC-CAUTH-001 - Register","TC-CAUTH-001","Customer Auth","Register","High","Critical","Email chưa tồn tại","POST /register","`{full_name:""Nguyễn Văn A"", email:""a@test.com"", password:""123456""}`","201, trả customer `{id, full_name, rank, points, email_verified:false}`, **không** trả password","","","Customer-Auth"
"Test","TC-CAUTH-002 - Register","TC-CAUTH-002","Customer Auth","Register","Medium","High","TC-001 xong","Kiểm tra DB sau đăng ký","—","Password lưu ở dạng bcrypt hash (không plaintext), `email_verified=false`","","","Customer-Auth"
"Test","TC-CAUTH-003 - Register","TC-CAUTH-003","Customer Auth","Register","Medium","Medium","TC-001 xong","Kiểm tra không có mail xác thực gửi ngay","—","Không gửi verification email lúc đăng ký (đúng thiết kế)","","","Customer-Auth"
"Test","TC-CAUTH-004 - Register","TC-CAUTH-004","Customer Auth","Register","Low","Low","Supabase down","POST /register khi Supabase lỗi","hợp lệ","Vẫn tạo được customer (Supabase best-effort, không chặn luồng)","","","Customer-Auth"
"Test","TC-CAUTH-005 - Register/validation","TC-CAUTH-005","Customer Auth","Register/validation","High","High","—","POST thiếu full_name","`{email,password}`","400 ""Vui lòng nhập họ tên""","","","Customer-Auth"
"Test","TC-CAUTH-006 - Register/validation","TC-CAUTH-006","Customer Auth","Register/validation","High","High","—","full_name = """"","`full_name:""""`","400 ""Vui lòng nhập họ tên""","","","Customer-Auth"
"Test","TC-CAUTH-007 - Register/validation","TC-CAUTH-007","Customer Auth","Register/validation","Medium","Medium","—","full_name = ""   "" (chỉ space)","`full_name:""   ""`","⚠️ASSUMED: schema `min(1)` không trim → pass schema. Đề xuất trim → 400. Ghi nhận hành vi thực tế","","","Customer-Auth"
"Test","TC-CAUTH-008 - Register/validation","TC-CAUTH-008","Customer Auth","Register/validation","High","High","—","Thiếu email","`{full_name,password}`","400 ""Email không được để trống""","","","Customer-Auth"
"Test","TC-CAUTH-009 - Register/validation","TC-CAUTH-009","Customer Auth","Register/validation","High","High","—","Email sai format","`email:""abc""`","400 ""Email không hợp lệ""","","","Customer-Auth"
"Test","TC-CAUTH-010 - Register/validation","TC-CAUTH-010","Customer Auth","Register/validation","Medium","Medium","—","Email thiếu domain","`email:""a@""`","400 ""Email không hợp lệ""","","","Customer-Auth"
"Test","TC-CAUTH-011 - Register/validation","TC-CAUTH-011","Customer Auth","Register/validation","Medium","Medium","—","Email có space đầu/cuối","`email:"" a@test.com ""`","⚠️ASSUMED: zod .email() từ chối khoảng trắng → 400. Xác nhận","","","Customer-Auth"
"Test","TC-CAUTH-012 - Register/validation","TC-CAUTH-012","Customer Auth","Register/validation","High","High","—","Thiếu password","`{full_name,email}`","400 ""Mật khẩu không được để trống""","","","Customer-Auth"
"Test","TC-CAUTH-013 - Register/validation","TC-CAUTH-013","Customer Auth","Register/validation","High","High","—","Password 5 ký tự (min-1)","`password:""12345""`","400 ""Mật khẩu tối thiểu 6 ký tự""","","","Customer-Auth"
"Test","TC-CAUTH-014 - Register/boundary","TC-CAUTH-014","Customer Auth","Register/boundary","High","High","—","Password đúng 6 (min)","`password:""123456""`","201 thành công","","","Customer-Auth"
"Test","TC-CAUTH-015 - Register/boundary","TC-CAUTH-015","Customer Auth","Register/boundary","Medium","Low","—","Password 7 (min+1)","`password:""1234567""`","201 thành công","","","Customer-Auth"
"Test","TC-CAUTH-016 - Register/boundary","TC-CAUTH-016","Customer Auth","Register/boundary","Medium","Medium","—","Password rất dài (1000 ký tự)","1000 chars","⚠️ASSUMED: bcrypt chỉ dùng 72 byte đầu; cần kiểm cột DB. Không lỗi 500","","","Customer-Auth"
"Test","TC-CAUTH-017 - Register/unicode","TC-CAUTH-017","Customer Auth","Register/unicode","Medium","Low","—","full_name unicode dấu tiếng Việt","`""Đặng Thị Ánh Tuyết""`","201, lưu đúng UTF-8","","","Customer-Auth"
"Test","TC-CAUTH-018 - Register/emoji","TC-CAUTH-018","Customer Auth","Register/emoji","Low","Low","—","full_name có emoji","`""An 😀""`","⚠️ASSUMED: lưu được (utf8mb4/UTF-8). Không lỗi 500","","","Customer-Auth"
"Test","TC-CAUTH-019 - Register/XSS","TC-CAUTH-019","Customer Auth","Register/XSS","High","High","—","full_name = `<script>alert(1)</script>`","như bên","Lưu nguyên literal; khi hiển thị ở internal/app phải escape (không thực thi)","","","Customer-Auth"
"Test","TC-CAUTH-020 - Register/SQLi","TC-CAUTH-020","Customer Auth","Register/SQLi","High","Critical","—","email = `a'; DROP TABLE customers;--@x.com`","như bên","400 (sai email format) hoặc parametrized → **không** thực thi SQL","","","Customer-Auth"
"Test","TC-CAUTH-021 - Register/null","TC-CAUTH-021","Customer Auth","Register/null","Medium","Medium","—","Gửi `password:null`","—","400 validation","","","Customer-Auth"
"Test","TC-CAUTH-022 - Register/type","TC-CAUTH-022","Customer Auth","Register/type","Medium","Medium","—","Gửi `password:123456` (number)","—","400 (expect string)","","","Customer-Auth"
